Year,Tx,Ty,p,p0
1948,0.00309777825265249,-0.00331443826227194,102457.5,99569.8028786804
1949,0.00311868973665685,-0.00136031459412876,102520,99536.9184198776
1950,0.0044291043732727,-0.00148487574482539,102466.666666667,99559.2959577654
1951,0.00278973238228265,-0.00287396882786366,102416.666666667,99578.1861818086
1952,0.00362925260526368,-0.00290286380974298,102375,99610.8540829459
1953,0.00400079590322602,-0.000490965621309303,102375.833333333,99554.4723294723
1954,0.00451976137883817,-0.00119681789084863,102370,99525.907861214
1955,0.0049102780346696,-0.00380823330158388,102381.666666667,99540.5887374255
1956,0.00325115496930865,-0.00413025514361568,102382.5,99506.5296929583
1957,0.00201940809814681,-0.00319871988377572,102489.166666667,99480.8918393612
1958,0.00784907951261988,-0.00584817687959533,102276.666666667,99461.8130958947
1959,0.00367920191056907,-0.00117809474407711,102500.833333333,99449.7259212565
1960,0.00521067338577851,-0.0050562790693162,102410,99495.804507131
1961,0.00513172053176702,-0.00290131353382572,102418.333333333,99447.3507472487
1962,0.00256602455424387,-0.00481440513715926,102425.833333333,99456.0523205421
1963,0.00526923122708584,-0.00518102334506572,102401.666666667,99476.0394505293
1964,0.00340188548016613,-0.00164461983288757,102461.666666667,99486.7450030205
1965,0.00319814736894882,-0.00183606474035221,102491.666666667,99551.6819005595
1966,0.00372965751818619,-0.0030641242037512,102487.5,99524.1819005595
1967,0.00309404503765906,-0.00154289691901832,102567.5,99428.4936831876
1968,0.00651267635663276,-0.00263357426813612,102443.333333333,99498.4758884249
1969,0.0064830088469506,-0.00691414185964297,102366.666666667,99477.49842408
1970,0.00318770520609706,-0.00239638169254161,102459.166666667,99461.0811467444
1971,0.00339342408695458,-0.00188645262904732,102400,99462.8723110866
1972,0.00236226507906493,-0.00178982641846729,102456.666666667,99463.1174323011
1973,0.00420183616973919,-0.00160038698135265,102441.666666667,99432.6341501852
1974,0.00354051798207525,-0.00081860767143148,102440,99453.5018911039
1975,0.0028031455536679,-0.000657630696343334,102490.833333333,99409.9040658735
1976,0.00719969095327122,-0.000323924146369356,102455.833333333,99446.175898931
1977,0.00856540743893132,-0.00249745252819705,102411.666666667,99520.9573713656
1978,0.00557990165603518,-0.00477282539321526,102468.333333333,99456.0623013684
1979,0.00431075773098547,-0.00103175190658673,102508.333333333,99427.0310324902
1980,0.00602454220851914,-0.00562678071527663,102383.333333333,99465.6631996428
1981,0.00745343962527455,-0.00587905762218323,102381.666666667,99469.8931657605
1982,0.00195334894133886,-0.00243168768935636,102606.666666667,99438.3543455992
1983,0.00321420641513772,-0.00365415923091729,102374.166666667,99433.5669634649
1984,0.0030437316292248,-0.00239348785965374,102501.666666667,99446.5618679905
1985,0.0073725415107597,-0.00305225481363562,102489.166666667,99450.5532792267
1986,0.00300798615695578,-0.00256838136820383,102524.166666667,99416.2506238017
1987,0.00475436985340752,-0.00561750865598691,102422.5,99449.4055498647
1988,0.00520811246240054,-0.00102162664053121,102528.333333333,99412.4869986604
1989,0.00448290241146833,-0.00233769834765501,102535,99358.6741260211
1990,0.00453963562137493,0.000112943366378103,102600,99387.1148189005
1991,0.00503275074434525,-0.0021906362806723,102570,99398.0432984005
1992,0.00301915245086321,-0.00247550232347653,102477.5,99406.8084994615
1993,0.00310184768321533,-0.00344922631261058,102484.166666667,99371.0953956872
1994,0.00316038143928101,-0.00137861050741141,102560,99357.5676988942
1995,0.00465715144241203,-0.00457873639262465,102401.666666667,99402.6546371444
1996,0.00433663949103807,-0.000803520173454083,102423.333333333,99427.5027578599
1997,0.00461869055113494,-0.00264301511534241,102349.166666667,99410.4580673968
1998,0.00212128685847588,-0.00280242526365168,102280,99421.3172064192
1999,0.00380406799796805,-0.00298096033358141,102413.333333333,99414.9723557377
2000,0.00632683186899032,-0.0052257667663768,102423.333333333,99425.7487589631
2001,0.00445965203422196,-0.00278490248002531,102477.5,99407.3582328684
2002,0.00553760171409636,-0.00267697528258565,102463.333333333,99414.4512515431
2003,0.00624726272063126,-0.00161367860975028,102332.5,99413.7182517795
2004,0.00535724860146803,-0.00400621301540927,102475.833333333,99432.3963832637
2005,0.00294450020585955,-0.00393448859292014,102342.5,99425.9567803955
2006,0.00543995376903531,-0.000738280613298813,102325.833333333,99397.7536574475
2007,0.00587971970028534,-0.00301494044613594,102458.333333333,99419.3695663594
2008,0.00374026871729496,-0.000756711384915565,102408.333333333,99400.148202138
2009,0.00469690157297406,-0.00258309419898754,102375.833333333,99443.0294434376
2010,0.0115535108363661,-0.0058102609712017,102159.166666667,99444.1745462664
2011,0.00386073297355714,0.000764828502333456,102357.5,99412.1836340714
2012,0.00412500729961574,-0.00217058492369361,102358.333333333,99424.2466446038
2013,0.00555115507777105,-0.000865585395929506,102502.5,99438.1554513697
2014,0.00388324205587939,-0.00317401255721531,102392.338541667,99415.0076461358
2015,0.002354048932388,-0.00370699242098632,102509.875651042,99364.0247536907
2016,0.00405754964102144,-0.00358561504033846,102406.17578125,99371.4944119479
2017,0.00357577635621876,-0.00167595948186601,102387.755208333,99376.2354662681
2018,0.00268322076282984,-0.00173983063968974,102515.955078125,99374.6153882734
2019,0.00222685120134929,-0.0019584404065157,102411.865885417,99405.0462174689
